cost => 1.28 | heu => 18.837142857142858 | fringe_size => 1 | closed => 1 | action => ['D'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 18.837142857142858 | fringe_size => 2 | closed => 1 | action => ["D'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.854285714285716 | fringe_size => 3 | closed => 1 | action => ['D2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 18.837142857142858 | fringe_size => 4 | closed => 1 | action => ['E'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 18.837142857142858 | fringe_size => 5 | closed => 1 | action => ["E'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.854285714285716 | fringe_size => 6 | closed => 1 | action => ['E2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 18.837142857142858 | fringe_size => 7 | closed => 1 | action => ['U'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 18.837142857142858 | fringe_size => 8 | closed => 1 | action => ["U'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.854285714285716 | fringe_size => 9 | closed => 1 | action => ['U2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.862857142857145 | fringe_size => 10 | closed => 1 | action => ['L'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.862857142857145 | fringe_size => 11 | closed => 1 | action => ["L'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 10.905714285714287 | fringe_size => 12 | closed => 1 | action => ['L2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.820000000000004 | fringe_size => 13 | closed => 1 | action => ['R'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.820000000000004 | fringe_size => 14 | closed => 1 | action => ["R'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.820000000000004 | fringe_size => 15 | closed => 1 | action => ['R2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.862857142857145 | fringe_size => 16 | closed => 1 | action => ['M'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.862857142857145 | fringe_size => 17 | closed => 1 | action => ["M'"] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 10.905714285714287 | fringe_size => 18 | closed => 1 | action => ['M2'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 19.82857142857143 | fringe_size => 19 | closed => 1 | action => ['B'] | start => ['L2', 'S', 'M2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
