cost => 1.28 | heu => 15.615 | fringe_size => 1 | closed => 1 | action => ['D'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.499642857142856 | fringe_size => 2 | closed => 1 | action => ["D'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.243214285714286 | fringe_size => 3 | closed => 1 | action => ['D2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.986785714285714 | fringe_size => 4 | closed => 1 | action => ['E'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.615 | fringe_size => 5 | closed => 1 | action => ["E'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.615 | fringe_size => 6 | closed => 1 | action => ['E2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.615 | fringe_size => 7 | closed => 1 | action => ['U'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.615 | fringe_size => 8 | closed => 1 | action => ["U'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.127857142857144 | fringe_size => 9 | closed => 1 | action => ['U2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 13.75607142857143 | fringe_size => 10 | closed => 1 | action => ['L'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.897142857142857 | fringe_size => 11 | closed => 1 | action => ["L'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.499642857142856 | fringe_size => 12 | closed => 1 | action => ['L2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.730357142857144 | fringe_size => 13 | closed => 1 | action => ['R'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 14 | closed => 1 | action => ["R'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 15.986785714285714 | fringe_size => 15 | closed => 1 | action => ['R2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.640714285714287 | fringe_size => 16 | closed => 1 | action => ['M'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.127857142857144 | fringe_size => 17 | closed => 1 | action => ["M'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.871428571428572 | fringe_size => 18 | closed => 1 | action => ['M2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.127857142857144 | fringe_size => 19 | closed => 1 | action => ['B'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.499642857142856 | fringe_size => 20 | closed => 1 | action => ["B'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.268928571428571 | fringe_size => 21 | closed => 1 | action => ['B2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.499642857142856 | fringe_size => 22 | closed => 1 | action => ['F'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.897142857142857 | fringe_size => 23 | closed => 1 | action => ["F'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 14.127857142857144 | fringe_size => 24 | closed => 1 | action => ['F2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.730357142857144 | fringe_size => 25 | closed => 1 | action => ['S'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.730357142857144 | fringe_size => 26 | closed => 1 | action => ["S'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 27 | closed => 1 | action => ['S2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 27 | closed => 2 | action => ["L'", 'D'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 28 | closed => 2 | action => ["L'", "D'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.320070357142857 | fringe_size => 29 | closed => 2 | action => ["L'", 'D2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.933041428571428 | fringe_size => 30 | closed => 2 | action => ["L'", 'E'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.158983571428571 | fringe_size => 31 | closed => 2 | action => ["L'", "E'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.158983571428571 | fringe_size => 32 | closed => 2 | action => ["L'", 'E2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 33 | closed => 2 | action => ["L'", 'U'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 34 | closed => 2 | action => ["L'", "U'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.320070357142857 | fringe_size => 35 | closed => 2 | action => ["L'", 'U2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.707099285714285 | fringe_size => 36 | closed => 2 | action => ["L'", 'L'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 37 | closed => 2 | action => ["L'", "L'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.320070357142857 | fringe_size => 38 | closed => 2 | action => ["L'", 'L2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.094128214285712 | fringe_size => 39 | closed => 2 | action => ["L'", 'R'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.707099285714285 | fringe_size => 40 | closed => 2 | action => ["L'", "R'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 14.320070357142857 | fringe_size => 41 | closed => 2 | action => ["L'", 'R2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 10.83681 | fringe_size => 42 | closed => 2 | action => ["L'", 'M'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 43 | closed => 2 | action => ["L'", "M'"] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 13.158983571428571 | fringe_size => 44 | closed => 2 | action => ["L'", 'M2'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 12.384925714285714 | fringe_size => 45 | closed => 2 | action => ["L'", 'B'] | start => ["M'", 'B2', 'F', 'L'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
