cost => 1.28 | heu => 11.302285714285714 | fringe_size => 1 | closed => 1 | action => ['D'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.004857142857142 | fringe_size => 2 | closed => 1 | action => ["D'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 10.41 | fringe_size => 3 | closed => 1 | action => ['D2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.491999999999999 | fringe_size => 4 | closed => 1 | action => ['E'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.491999999999999 | fringe_size => 5 | closed => 1 | action => ["E'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 10.112571428571426 | fringe_size => 6 | closed => 1 | action => ['E2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.599714285714285 | fringe_size => 7 | closed => 1 | action => ['U'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 10.112571428571426 | fringe_size => 8 | closed => 1 | action => ["U'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.004857142857142 | fringe_size => 9 | closed => 1 | action => ['U2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.789428571428571 | fringe_size => 10 | closed => 1 | action => ['L'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.789428571428571 | fringe_size => 11 | closed => 1 | action => ["L'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.302285714285714 | fringe_size => 12 | closed => 1 | action => ['L2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.789428571428571 | fringe_size => 13 | closed => 1 | action => ['R'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.789428571428571 | fringe_size => 14 | closed => 1 | action => ["R'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.302285714285714 | fringe_size => 15 | closed => 1 | action => ['R2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 13.086857142857141 | fringe_size => 16 | closed => 1 | action => ['M'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 13.086857142857141 | fringe_size => 17 | closed => 1 | action => ["M'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.897142857142857 | fringe_size => 18 | closed => 1 | action => ['M2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.194571428571427 | fringe_size => 19 | closed => 1 | action => ['B'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.194571428571427 | fringe_size => 20 | closed => 1 | action => ["B'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 10.112571428571426 | fringe_size => 21 | closed => 1 | action => ['B2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.194571428571427 | fringe_size => 22 | closed => 1 | action => ['F'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 12.194571428571427 | fringe_size => 23 | closed => 1 | action => ["F'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 10.112571428571426 | fringe_size => 24 | closed => 1 | action => ['F2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.897142857142857 | fringe_size => 25 | closed => 1 | action => ['S'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.897142857142857 | fringe_size => 26 | closed => 1 | action => ["S'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 9.517714285714284 | fringe_size => 27 | closed => 1 | action => ['S2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 9.90794057142857 | fringe_size => 27 | closed => 2 | action => ['S2', 'D'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 10.217563714285713 | fringe_size => 28 | closed => 2 | action => ['S2', "D'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 9.598317428571429 | fringe_size => 29 | closed => 2 | action => ['S2', 'D2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 11.765679428571428 | fringe_size => 30 | closed => 2 | action => ['S2', 'E'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 11.765679428571428 | fringe_size => 31 | closed => 2 | action => ['S2', "E'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 9.90794057142857 | fringe_size => 32 | closed => 2 | action => ['S2', 'E2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 10.83681 | fringe_size => 33 | closed => 2 | action => ['S2', 'U'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 8.669448 | fringe_size => 34 | closed => 2 | action => ['S2', "U'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 10.217563714285713 | fringe_size => 35 | closed => 2 | action => ['S2', 'U2'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 11.456056285714284 | fringe_size => 36 | closed => 2 | action => ['S2', 'L'] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 11.456056285714284 | fringe_size => 37 | closed => 2 | action => ['S2', "L'"] | start => ['E2', 'M2', 'D2', 'U', 'R2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
