cost => 1.28 | heu => 14.871428571428572 | fringe_size => 1 | closed => 1 | action => ['D'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 8.922857142857142 | fringe_size => 2 | closed => 1 | action => ["D'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 3 | closed => 1 | action => ['D2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.794285714285714 | fringe_size => 4 | closed => 1 | action => ['E'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.794285714285714 | fringe_size => 5 | closed => 1 | action => ["E'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 6 | closed => 1 | action => ['E2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.794285714285714 | fringe_size => 7 | closed => 1 | action => ['U'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.794285714285714 | fringe_size => 8 | closed => 1 | action => ["U'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 9 | closed => 1 | action => ['U2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 10 | closed => 1 | action => ['L'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 11 | closed => 1 | action => ["L'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 12 | closed => 1 | action => ['L2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 13 | closed => 1 | action => ['R'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 14 | closed => 1 | action => ["R'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.845714285714283 | fringe_size => 15 | closed => 1 | action => ['R2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 16 | closed => 1 | action => ['M'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 17 | closed => 1 | action => ["M'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 18 | closed => 1 | action => ['M2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 19 | closed => 1 | action => ['B'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 20 | closed => 1 | action => ["B'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 21 | closed => 1 | action => ['B2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.845714285714283 | fringe_size => 22 | closed => 1 | action => ['F'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.845714285714283 | fringe_size => 23 | closed => 1 | action => ["F'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 11.897142857142857 | fringe_size => 24 | closed => 1 | action => ['F2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 25 | closed => 1 | action => ['S'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 23.05071428571429 | fringe_size => 26 | closed => 1 | action => ["S'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 27 | closed => 1 | action => ['S2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 27 | closed => 2 | action => ["D'", 'D'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 28 | closed => 2 | action => ["D'", "D'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 29 | closed => 2 | action => ["D'", 'D2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 30 | closed => 2 | action => ["D'", 'E'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 31 | closed => 2 | action => ["D'", "E'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 32 | closed => 2 | action => ["D'", 'E2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 33 | closed => 2 | action => ["D'", 'U'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 34 | closed => 2 | action => ["D'", "U'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 35 | closed => 2 | action => ["D'", 'U2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 36 | closed => 2 | action => ["D'", 'L'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 37 | closed => 2 | action => ["D'", "L'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 38 | closed => 2 | action => ["D'", 'L2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 39 | closed => 2 | action => ["D'", 'R'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 40 | closed => 2 | action => ["D'", "R'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 41 | closed => 2 | action => ["D'", 'R2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 42 | closed => 2 | action => ["D'", 'M'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 43 | closed => 2 | action => ["D'", "M'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 44 | closed => 2 | action => ["D'", 'M2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 45 | closed => 2 | action => ["D'", 'B'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 46 | closed => 2 | action => ["D'", "B'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 47 | closed => 2 | action => ["D'", 'B2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 9.288694285714284 | fringe_size => 48 | closed => 2 | action => ["D'", 'F'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 9.288694285714284 | fringe_size => 49 | closed => 2 | action => ["D'", "F'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 0.0 | fringe_size => 50 | closed => 2 | action => ["D'", 'F2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 51 | closed => 2 | action => ["D'", 'S'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 52 | closed => 2 | action => ["D'", "S'"] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 53 | closed => 2 | action => ["D'", 'S2'] | start => ['F2', 'D'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 1 | closed => 1 | action => ['D'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 2 | closed => 1 | action => ["D'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.845714285714283 | fringe_size => 3 | closed => 1 | action => ['D2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 4 | closed => 1 | action => ['E'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 5 | closed => 1 | action => ["E'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.845714285714283 | fringe_size => 6 | closed => 1 | action => ['E2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 7 | closed => 1 | action => ['U'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 8 | closed => 1 | action => ["U'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 17.845714285714283 | fringe_size => 9 | closed => 1 | action => ['U2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 10 | closed => 1 | action => ['L'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 11 | closed => 1 | action => ["L'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 12 | closed => 1 | action => ['L2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 13 | closed => 1 | action => ['R'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 14 | closed => 1 | action => ["R'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 15 | closed => 1 | action => ['R2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 16 | closed => 1 | action => ['M'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 17 | closed => 1 | action => ["M'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 8.922857142857142 | fringe_size => 18 | closed => 1 | action => ['M2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 19 | closed => 1 | action => ['B'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 16.358571428571427 | fringe_size => 20 | closed => 1 | action => ["B'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 8.922857142857142 | fringe_size => 21 | closed => 1 | action => ['B2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 22 | closed => 1 | action => ['F'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 23 | closed => 1 | action => ["F'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 24 | closed => 1 | action => ['F2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 25 | closed => 1 | action => ['S'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 22.307142857142857 | fringe_size => 26 | closed => 1 | action => ["S'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 1.28 | heu => 20.82 | fringe_size => 27 | closed => 1 | action => ['S2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 27 | closed => 2 | action => ['M2', 'D'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 28 | closed => 2 | action => ['M2', "D'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 29 | closed => 2 | action => ['M2', 'D2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 30 | closed => 2 | action => ['M2', 'E'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 31 | closed => 2 | action => ['M2', "E'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 32 | closed => 2 | action => ['M2', 'E2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 33 | closed => 2 | action => ['M2', 'U'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 34 | closed => 2 | action => ['M2', "U'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 35 | closed => 2 | action => ['M2', 'U2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 36 | closed => 2 | action => ['M2', 'L'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 37 | closed => 2 | action => ['M2', "L'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 38 | closed => 2 | action => ['M2', 'L2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 39 | closed => 2 | action => ['M2', 'R'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 40 | closed => 2 | action => ['M2', "R'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 41 | closed => 2 | action => ['M2', 'R2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 42 | closed => 2 | action => ['M2', 'M'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 43 | closed => 2 | action => ['M2', "M'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 44 | closed => 2 | action => ['M2', 'M2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 10.83681 | fringe_size => 45 | closed => 2 | action => ['M2', 'B'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 10.83681 | fringe_size => 46 | closed => 2 | action => ['M2', "B'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 3.0962314285714285 | fringe_size => 47 | closed => 2 | action => ['M2', 'B2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 48 | closed => 2 | action => ['M2', 'F'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 17.029272857142857 | fringe_size => 49 | closed => 2 | action => ['M2', "F'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 15.481157142857143 | fringe_size => 50 | closed => 2 | action => ['M2', 'F2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 51 | closed => 2 | action => ['M2', 'S'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 52 | closed => 2 | action => ['M2', "S'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 2.56 | heu => 18.577388571428568 | fringe_size => 53 | closed => 2 | action => ['M2', 'S2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 53 | closed => 3 | action => ['M2', 'B2', 'D'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 54 | closed => 3 | action => ['M2', 'B2', "D'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 55 | closed => 3 | action => ['M2', 'B2', 'D2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 56 | closed => 3 | action => ['M2', 'B2', 'E'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 57 | closed => 3 | action => ['M2', 'B2', "E'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 58 | closed => 3 | action => ['M2', 'B2', 'E2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 59 | closed => 3 | action => ['M2', 'B2', 'U'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 60 | closed => 3 | action => ['M2', 'B2', "U'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 61 | closed => 3 | action => ['M2', 'B2', 'U2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 62 | closed => 3 | action => ['M2', 'B2', 'L'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 63 | closed => 3 | action => ['M2', 'B2', "L'"] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 64 | closed => 3 | action => ['M2', 'B2', 'L2'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
cost => 3.84 | heu => 12.892707668571425 | fringe_size => 65 | closed => 3 | action => ['M2', 'B2', 'R'] | start => ['M2', 'B2'] | limit_times => 0.7 | base => 1.041 | cost_price => 1.28 | cost_weight => 1.0
